id,olid,comment
1,OL503666W,test3
2,OL503666W,コメ
3,OL36653701W,とても考えさせられた...
4,OL36653701W,タコピー鬼強ぇぇぇぇぇ！！！
5,OL36653701W,面白かったッピ！
6,OL20685638W,タイトルに似つかわしくない、かなり硬派な戦記です。
7,OL20094984W,所謂なろう作品ですが、リアルさと納得感のあるストーリーだと思います。全巻読みましたが、主人公の一生が波乱万丈にドラマティックに描かれていました。
8,OL362427W,流石に名作です。現代人が読んでも面白いです。
9,OL82563W,大人になって読み返すと、子供のころとは違う発見があって奥深い作品だと思う。
10,OL82548W,魔法の世界観が緻密で、読むたびに本当に存在するんじゃないかと感じさせられる。
11,OL82536W,友情、勇気、選択...テーマが普遍的だからこそ世界中で愛されているんだと思う。
12,OL52456W,ゲーテの悪魔との契約を描いた悲劇。哲学的で難解な部分もあるが、それ以上に人生や欲望に対するテーマが胸に迫る。
